City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,talnakh,69.4865,88.3972,272.71,94,100,1.27,RU,1697082704
112,titahari,26.6667,87.2833,301.1,69,0,1.09,NP,1697082705
113,aginskoye,51.1,114.53,288.2,34,0,5.05,RU,1697082705
114,zeya,53.75,127.2667,287.53,50,92,2.01,RU,1697082705
115,touros,-5.1989,-35.4608,298.24,81,30,6.44,BR,1697082706
116,laguna,38.421,-121.4238,292.17,50,0,3.6,US,1697082706
117,tolanaro,-25.0319,46.9987,294.19,94,75,4.12,MG,1697082108
118,nowshahr,36.649,51.496,289.12,100,100,3.09,IR,1697082707
119,soure,-0.7167,-48.5233,300.36,76,0,4.7,BR,1697082707
120,kataba,13.9833,44.3833,291.18,40,7,1.21,YE,1697082707
121,bilibino,68.0546,166.4372,266.46,86,100,2.49,RU,1697082707
122,longyearbyen,78.2186,15.6401,269.06,58,40,7.72,SJ,1697082708
123,lebu,-37.6167,-73.65,282.33,88,0,8.35,CL,1697082648
124,palmer,42.1584,-72.3287,284.92,77,68,0.66,US,1697081858
125,port saint john's,-31.6229,29.5448,292.98,92,100,2.32,ZA,1697082709
126,tuy hoa,13.0833,109.3,301.01,85,100,6.1,VN,1697082710
127,shingu,33.7333,135.9833,295.28,64,13,4.0,JP,1697082710
128,kitimat,54.0524,-128.6534,285.36,64,79,0.45,CA,1697082711
129,qujing,25.4833,103.7833,291.72,76,96,4.05,CN,1697082711
130,uturoa,-16.7333,-151.4333,299.53,79,19,7.71,PF,1697082712
131,puerto baquerizo moreno,-0.9,-89.6,297.22,80,92,5.46,EC,1697082712
132,yuzhno-kurilsk,44.0306,145.8556,286.14,70,45,3.47,RU,1697082712
133,ivdel',60.6911,60.4206,273.81,77,49,1.79,RU,1697082713
134,coracora,-15.0333,-73.7833,286.33,62,100,1.17,PE,1697082713
135,fale old settlement,-9.3852,-171.2468,302.02,77,26,7.62,TK,1697082713
136,wotje,9.4543,170.2367,301.3,71,82,5.02,MH,1697082713
137,buka,40.8108,69.1986,294.76,23,6,2.98,UZ,1697082714
138,sayat,38.7839,63.8803,289.08,27,84,4.32,TM,1697082714
139,khandyga,62.6667,135.6,272.91,94,100,2.5,RU,1697082714
140,kismayo,-0.3582,42.5454,299.52,81,91,4.77,SO,1697082715
141,aasiaat,68.7098,-52.8699,265.9,96,100,4.89,GL,1697082715
142,namtsy,62.7161,129.6658,280.95,57,11,6.9,RU,1697082715
143,happy valley-goose bay,53.3168,-60.3315,283.32,100,100,0.0,CA,1697082716
144,pohang,36.0322,129.365,293.89,48,43,3.4,KR,1697082716
145,egilsstadir,65.2653,-14.3948,273.1,86,0,1.54,IS,1697082716
